id;prj;sec;dim;quality;rem_len;marking_text;used_in
399;056001;05102;RP160X10;A40;3892;05102-RP160X10-A40-23-L3892;
400;056001;05102;RP160X10;A40;3892;05102-RP160X10-A40-24-L3892;
401;056001;05102;RP160X10;A40;7946;05102-RP160X10-A40-25-L7946;
402;056001;05102;RP140X9;A40;8376;05102-RP140X9-A40-3-L8376;
403;056001;05102;RP100X6;A40;4990;05102-RP100X6-A40-4-L4990;
404;056001;05102;RP100X6;A40;4990;05102-RP100X6-A40-5-L4990;
405;056001;05102;RP100X6;A40;4990;05102-RP100X6-A40-6-L4990;
406;056001;05102;RP220X11;A40;1999;05102-RP220X11-A40-22-L1999;
407;056001;05102;RP220X11;A40;1999;05102-RP220X11-A40-23-L1999;
408;056001;05102;RP220X11;A40;2982;05102-RP220X11-A40-24-L2982;
409;056001;05102;RP220X11;A40;2982;05102-RP220X11-A40-25-L2982;
410;056001;05102;RP220X11;A40;2982;05102-RP220X11-A40-26-L2982;
411;056001;05102;RP220X11;A40;2982;05102-RP220X11-A40-27-L2982;
412;056001;05102;RP220X11;A40;5988;05102-RP220X11-A40-28-L5988;
